NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),Category
9009,"APPLES,DEHYD (LO MOIST),SULFURED,UNCKD",3.0,346,1.32,0.58,93.53,12.4,81.13,19.0,2.0,22.0,55.0,640.0,124.0,0.29,0.271,0.095,0.024,0.171,0.0,Fruits and Fruit Juices
9289,"PRUNES,DEHYD (LOW-MOISTURE),UNCKD",4.0,339,3.7,0.73,89.07,0.7,1.84,72.0,3.52,64.0,112.0,1058.0,5.0,0.75,0.611,0.059,0.483,0.159,0.0,Fruits and Fruit Juices
9041,"BANANAS,DEHYD,OR BANANA PDR",3.0,346,3.89,1.81,88.28,9.9,47.3,22.0,1.15,108.0,74.0,1491.0,3.0,0.61,0.391,0.698,0.153,0.337,0.0,Fruits and Fruit Juices
9244,"PEACHES,DEHYD (LOW-MOISTURE),SULFURED,UNCKD",7.5,325,4.89,1.03,83.18,0.7,1.84,38.0,5.51,57.0,162.0,1351.0,10.0,0.78,0.493,0.111,0.377,0.498,0.0,Fruits and Fruit Juices
9030,"APRICOTS,DEHYD (LOW-MOISTURE),SULFURED,UNCKD",7.5,320,4.9,0.62,82.89,0.7,1.84,61.0,6.31,63.0,157.0,1850.0,13.0,1.0,0.576,0.043,0.268,0.121,0.0,Fruits and Fruit Juices
9079,"CRANBERRIES,DRIED,SWTND",15.79,308,0.17,1.09,82.8,5.3,72.56,9.0,0.39,4.0,8.0,49.0,5.0,0.1,0.063,0.088,0.298,0.182,0.0,Fruits and Fruit Juices
9426,CANDIED FRUIT,16.7,322,0.34,0.07,82.74,1.6,80.68,18.0,0.17,4.0,5.0,56.0,98.0,0.05,0.029,0.01,0.008,0.02,0.0,Fruits and Fruit Juices
9044,"CHERRIES,TART,DRIED,SWTND",16.6,333,1.25,0.73,80.45,2.5,67.15,38.0,0.68,22.0,36.0,376.0,13.0,0.25,0.229,0.146,0.177,0.194,0.0,Fruits and Fruit Juices
9163,"BLUEBERRIES,DRIED,SWTND",14.8,317,2.5,2.5,80.0,7.5,67.5,19.0,0.9,18.0,36.0,214.0,3.0,0.49,0.16,0.2,0.405,1.3,0.0,Fruits and Fruit Juices
9297,"RAISINS,GOLDEN SEEDLESS",14.97,302,3.39,0.46,79.52,4.0,59.19,53.0,1.79,35.0,115.0,746.0,12.0,0.32,0.363,0.151,0.019,0.135,0.0,Fruits and Fruit Juices
