NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),Category
10871,"PORK,CURED,HAM & H2O PRODUCT,WHL,BNLESS,LN,HTD,RSTD",72.11,123,13.88,5.46,4.61,0.0,4.61,8.0,0.74,15.0,224.0,245.0,1335.0,1.64,0.095,1.841,2.458,0.851,43.0,Pork Products
10922,"PORK,CURED,HAM & H2O PRODUCT,WHL,BNLESS,LN & FAT,HTD,RSTD",72.11,123,13.88,5.46,4.61,0.0,4.61,8.0,0.74,15.0,224.0,245.0,1335.0,1.64,0.095,1.841,2.458,0.851,43.0,Pork Products
10872,"PORK,CURED,HAM & H2O PRODUCT,WHL,BNLESS,LN,UNHTD",73.05,116,14.07,4.86,4.22,0.0,4.22,8.0,0.78,17.0,229.0,268.0,1310.0,1.6,0.107,1.447,2.041,0.644,43.0,Pork Products
10905,"PORK,CURED,HAM & H2O PRODUCT,WHL,BNLESS,LN & FAT,UNHTD",72.96,117,14.05,4.99,4.21,0.0,4.21,8.0,0.78,17.0,228.0,267.0,1308.0,1.59,0.107,1.489,2.098,0.66,43.0,Pork Products
10852,"HORMEL ALWAYS TENDER,PORK TENDERLOIN,TERIYAKI-FLAVORED",71.9,119,18.2,3.07,4.63,0.7,3.33,7.0,1.0,22.0,145.0,536.0,413.0,1.5,0.1,1.05,1.26,0.6,46.0,Pork Products
10008,"PORK,FRSH,LEG (HAM),WHL,LN&FAT,RAW",62.47,245,17.43,18.87,0.0,0.0,1.84,5.0,0.85,20.0,199.0,315.0,47.0,1.93,0.065,6.54,8.38,2.01,73.0,Pork Products
10072,"PORK,FRSH,SHLDR,WHL,LN,RAW",72.63,148,19.55,7.14,0.0,0.0,1.84,14.0,1.22,21.0,202.0,341.0,76.0,3.14,0.097,2.47,3.23,0.77,67.0,Pork Products
10076,"PORK,FRSH,SHLDR,ARM PICNIC,LN&FAT,CKD,RSTD",52.04,317,23.47,24.01,0.0,0.0,1.84,19.0,1.18,17.0,228.0,325.0,70.0,3.45,0.111,8.78,10.72,2.35,94.0,Pork Products
11548,TOMATO POWDER,3.06,302,12.91,0.44,74.68,16.5,43.9,166.0,4.56,178.0,295.0,1927.0,134.0,1.71,1.241,0.062,0.066,0.179,0.0,Vegetables and Vegetable Products
11962,"PEPPERS,HOT CHILE,SUN-DRIED",7.15,324,10.58,5.81,69.86,28.7,41.06,45.0,6.04,88.0,159.0,1870.0,91.0,1.02,0.228,0.813,0.468,3.079,0.0,Vegetables and Vegetable Products
11931,"PEPPERS,SWT,RED,FREEZE-DRIED",2.0,314,17.9,3.0,68.7,21.3,40.77,134.0,10.4,188.0,327.0,3170.0,193.0,2.41,1.389,0.447,0.202,1.607,0.0,Vegetables and Vegetable Products
11683,"CARROT,DEHYDRATED",4.0,341,8.1,1.49,79.57,23.6,38.82,212.0,3.93,118.0,346.0,2540.0,275.0,1.57,0.37,0.256,0.076,0.73,0.0,Vegetables and Vegetable Products
11634,"PEPPERS,SWT,GRN,FREEZE-DRIED",2.0,314,17.9,3.0,68.7,21.3,38.48,134.0,10.4,188.0,327.0,3170.0,193.0,2.41,1.389,0.447,0.202,1.607,0.0,Vegetables and Vegetable Products
11640,"SHALLOTS,FREEZE-DRIED",2.0,348,12.3,0.5,80.7,15.7,38.16,183.0,6.0,104.0,296.0,1650.0,59.0,1.93,0.425,0.084,0.07,0.196,0.0,Vegetables and Vegetable Products
11955,"TOMATOES,SUN-DRIED",14.56,258,14.11,2.97,55.76,12.3,37.59,110.0,9.09,194.0,356.0,3427.0,107.0,1.99,1.423,0.426,0.487,1.115,0.0,Vegetables and Vegetable Products
11284,"ONIONS,DEHYDRATED FLAKES",3.93,349,8.95,0.46,83.28,9.2,37.41,257.0,1.55,92.0,303.0,1622.0,21.0,1.89,0.416,0.078,0.064,0.18,0.0,Vegetables and Vegetable Products
